glyph_code,glyph_instances_total,glyph_instances_used,glyph_dispersion,referent_id,rank,iconicity,geodesic_distance,deiconization_rate,referent_images,referent_dispersion,anchor_power_global,bootstrap_assignment_stability,negative_control_gap,cross_script_acc_at_5,c25_admissible,max_claim_label,failed_criteria
001,309,8,0.46367930657532197,toki,1,0.6205865357598551,0.9013058440804574,0.3794134642401449,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,cross_script_validation
001,309,8,0.46367930657532197,moray_eel,2,0.5933866225708847,0.9355365633088871,0.4066133774291153,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
001,309,8,0.46367930657532197,octopus,3,0.5857508127660048,0.9449902112204102,0.4142491872339952,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
001,309,8,0.46367930657532197,moai,4,0.5843099026435852,0.9467668947776813,0.4156900973564148,2,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
001,309,8,0.46367930657532197,sun,5,0.5835789710863818,0.9476672857082115,0.4164210289136182,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
002,231,8,0.32747329927793634,moray_eel,1,0.5844455307313257,0.9465997584463733,0.41555446926867434,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
002,231,8,0.32747329927793634,moai,2,0.5758220633413024,0.9571870445858262,0.42417793665869763,2,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
002,231,8,0.32747329927793634,sun,3,0.571393924041377,0.9625929666157746,0.428606075958623,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
002,231,8,0.32747329927793634,octopus,4,0.571350433678389,0.9626459589835035,0.428649566321611,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
002,231,8,0.32747329927793634,fairy_tern,5,0.5626914984729938,0.9731582771139795,0.4373085015270062,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
004,200,8,0.37182567531056787,octopus,1,0.5386818897509441,1.0019245067037652,0.4613181102490559,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
004,200,8,0.37182567531056787,sun,2,0.5382947963965151,1.002383892202108,0.4617052036034849,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
004,200,8,0.37182567531056787,toki,3,0.5364528971953009,1.0045679353613495,0.46354710280469913,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
004,200,8,0.37182567531056787,moray_eel,4,0.5356852324308891,1.0054773032248518,0.46431476756911094,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
004,200,8,0.37182567531056787,moai,5,0.5303267021130269,1.011810452050392,0.4696732978869731,2,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
003,177,8,0.5880894841949821,toki,1,0.6640619617871026,0.8445578115310782,0.33593803821289736,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,cross_script_validation
003,177,8,0.5880894841949821,octopus,2,0.5917805940510875,0.9375303701057116,0.4082194059489125,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
003,177,8,0.5880894841949821,sun,3,0.5912298518593989,0.9382134178830346,0.4087701481406011,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
003,177,8,0.5880894841949821,moray_eel,4,0.5750900787948756,0.9580820743581892,0.4249099212051244,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
003,177,8,0.5880894841949821,moai,5,0.5734191368401733,0.9601231029356062,0.4265808631598267,2,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
022,149,8,0.2689884294679812,moray_eel,1,0.5559426157221025,0.9812997763320835,0.44405738427789754,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
022,149,8,0.2689884294679812,octopus,2,0.532022369718544,1.0098091025541989,0.467977630281456,1,0.0,0.9703657150609888,0.819515306122449,143.27970361830896,0.2857142857142857,False,C2_FUNCTIONAL_OR_LOWER,iconicity|cross_script_validation
