glyph_code,group_by,n_instances_total,n_instances_used,dispersion,raw_codes,example_glyph_ids
172,base_code,1,1,0.0,172,Ev05-033
173,base_code,1,1,0.0,173,Da02-023
181,base_code,1,1,0.0,181f,Aa05-061
188,base_code,1,1,0.0,188,Ev07-017
195,base_code,1,1,1.4901161193847656e-08,195a?,Aa02-054
196,base_code,1,1,0.0,196,Bv07-007
197,base_code,1,1,0.0,197f,Aa03-088
210,base_code,1,1,0.0,210,Aa07-126
222,base_code,1,1,0.0,222,Ca12-006
224,base_code,1,1,0.0,224,Ev05-047
231,base_code,1,1,0.0,231,Br03-016
234,base_code,1,1,0.0,234,Aa03-076
236,base_code,1,1,0.0,236s,Bv05-027
247,base_code,1,1,0.0,247,Cb12-011
248,base_code,1,1,0.0,248,Cb08-008
252,base_code,1,1,0.0,252,Ca03-024
262,base_code,1,1,0.0,262s,Br04-007
264,base_code,1,1,0.0,264k,Bv11-002
276,base_code,1,1,0.0,276,Ev07-015
279,base_code,1,1,0.0,279,Er08-030
293,base_code,1,1,0.0,293s,Br03-032
294,base_code,1,1,0.0,294s,Ev02-011
299,base_code,1,1,0.0,299,Ca09-019
315,base_code,1,1,0.0,315y,Ca06-027
321,base_code,1,1,0.0,321,Aa06-020
323,base_code,1,1,0.0,323,Aa06-079
331,base_code,1,1,0.0,331,Br05-030
340,base_code,1,1,0.0,340,Aa06-075
343,base_code,1,1,0.0,343,Ev02-034
354,base_code,1,1,1.4901161193847656e-08,354,Cb05-011
361,base_code,1,1,0.0,361a,Ab08-035
366,base_code,1,1,0.0,366,Aa05-033
373,base_code,1,1,0.0,373y,Br04-051
374,base_code,1,1,0.0,374y,Bv02-060
392,base_code,1,1,0.0,392,Br08-005
393,base_code,1,1,0.0,393,Aa02-034
395,base_code,1,1,0.0,395,Bv11-012
408,base_code,1,1,0.0,408,Ca05-031
421,base_code,1,1,0.0,421,Aa01-079
432,base_code,1,1,0.0,432y,Aa06-073
442,base_code,1,1,0.0,442,Aa02-014
447,base_code,1,1,0.0,447f,Ab03-083
448,base_code,1,1,0.0,448,Ab03-077
453,base_code,1,1,0.0,453,Ab07-105
462,base_code,1,1,0.0,462,Br08-056
463,base_code,1,1,0.0,463s,Br04-039
471,base_code,1,1,0.0,471,Aa05-087
474,base_code,1,1,0.0,474,Bv06-012
476,base_code,1,1,0.0,476,Aa06-039
477,base_code,1,1,1.4901161193847656e-08,477,Aa05-097
482,base_code,1,1,0.0,482,Bv06-014
483,base_code,1,1,0.0,483,Cb10-003
484,base_code,1,1,0.0,484,Bv02-049
486,base_code,1,1,0.0,486,Ca13-012
487,base_code,1,1,0.0,487,Ab04-010
489,base_code,1,1,0.0,489,Ab03-094
494,base_code,1,1,0.0,494a,Aa06-092
498,base_code,1,1,2.1073424255447017e-08,498V,Aa01-088
500,base_code,1,1,0.0,500,Ab02-004
506,base_code,1,1,0.0,506,Ab02-085
507,base_code,1,1,0.0,507,Aa04-038
509,base_code,1,1,0.0,509,Ev07-019
515,base_code,1,1,0.0,515,Ev06-036
521,base_code,1,1,0.0,521s,Ev01-012
526,base_code,1,1,0.0,526y,Er04-053
536,base_code,1,1,2.1073424255447017e-08,536?,Da07-006
538,base_code,1,1,0.0,538,Aa02-057
541,base_code,1,1,0.0,541,Bv02-005
543,base_code,1,1,1.4901161193847656e-08,543,Bv12-010
544,base_code,1,1,0.0,544a,Ab08-021
546,base_code,1,1,0.0,546,Cb09-032
550,base_code,1,1,0.0,550,Ca05-018
552,base_code,1,1,1.4901161193847656e-08,552,Aa01-025
553,base_code,1,1,0.0,553,Aa01-045
554,base_code,1,1,0.0,554a,Aa01-020
556,base_code,1,1,0.0,556,Cb11-024
557,base_code,1,1,0.0,557,Cb11-021
558,base_code,1,1,1.4901161193847656e-08,558,Br04-009
561,base_code,1,1,0.0,561,Er09-040
562,base_code,1,1,0.0,562,Er03-028
567,base_code,1,1,0.0,567,Bv08-043
574,base_code,1,1,0.0,574s,Bv04-031
578,base_code,1,1,0.0,578,Ab07-027
582,base_code,1,1,0.0,582,Bv05-038
585,base_code,1,1,0.0,585,Aa03-078
586,base_code,1,1,0.0,586,Ab03-107
598,base_code,1,1,0.0,598,Ab04-035
603,base_code,1,1,0.0,603,Ab02-103
613,base_code,1,1,0.0,613,Aa02-107
615,base_code,1,1,0.0,615,Ab01-075
618,base_code,1,1,0.0,618,Br06-046
624,base_code,1,1,0.0,624,Br07-009
625,base_code,1,1,0.0,625,Aa08-080
637,base_code,1,1,0.0,637,Ca09-007
638,base_code,1,1,0.0,638,Br07-027
651,base_code,1,1,0.0,651,Ab02-049
652,base_code,1,1,1.4901161193847656e-08,652,Ab06-122
653,base_code,1,1,0.0,653y,Br08-038
654,base_code,1,1,0.0,654y,Bv02-031
656,base_code,1,1,0.0,656,Da02-006
658,base_code,1,1,0.0,658,Aa01-103
661,base_code,1,1,0.0,661o,Ab07-006
671,base_code,1,1,0.0,671,Cb08-014
673,base_code,1,1,0.0,673,Bv06-039
677,base_code,1,1,0.0,677,Fa02-004
683,base_code,1,1,0.0,683,Ca14-034
684,base_code,1,1,0.0,684,Ev05-046
694,base_code,1,1,0.0,694,Ev01-020
695,base_code,1,1,0.0,695,Aa01-012
701,base_code,1,1,0.0,701b,Aa02-020
716,base_code,1,1,0.0,716,Aa05-034
717,base_code,1,1,0.0,717,Ab08-033
718,base_code,1,1,0.0,718,Ab07-063
720,base_code,1,1,0.0,720,Aa06-096
725,base_code,1,1,0.0,725,Cb14-008
727,base_code,1,1,1.4901161193847656e-08,727,Bv10-012
732,base_code,1,1,0.0,732,Ab02-075
733,base_code,1,1,0.0,733,Bv10-013
737,base_code,1,1,0.0,737,Aa04-039
738,base_code,1,1,0.0,738,Br08-024
740,base_code,1,1,0.0,740,Ab03-075
743,base_code,1,1,0.0,743f,Ab06-030
749,base_code,1,1,0.0,749,Br03-029
756,base_code,1,1,0.0,756,Ab04-012
761,base_code,1,1,0.0,761,Cb11-020
762,base_code,1,1,0.0,762,Cb11-019
763,base_code,1,1,0.0,763,Ca11-034
775,base_code,1,1,0.0,775,Br07-041
780,base_code,1,1,0.0,780,Br06-013
